         180 Marshall_Islands                                         61815
         181 Korea_South                                           49044790
         182 Faroe_Islands                                            47511
         183 Suriname                                                470784
         184 Turks_and_Caicos_Islands                                 21746
         185 Kyrgyzstan                                             5284149
         186 Burma                                                 47373958
         187 Peru                                                  28674757
         188 Ukraine                                               46299862
         189 Turkey                                                71158647
         190 Norfolk_Island                                            2114
         191 Paraguay                                               6669086
         192 Christmas_Island                                          1402
         193 Turkmenistan                                           5097028
         194 Akrotiri                                                     0
         195 Coral_Sea_Islands                                            0
         196 Morocco                                               33757175
         197 Europa_Island                                                0
         198 Syria                                                 19314747
         199 Portugal                                              10642836
         200 Burundi                                                8390505
         201 Germany                                               82400996
         202 Paracel_Islands                                              0
         203 Spratly_Islands                                              0
         204 Norway                                                 4627926
         205 Israel                                                 6426679
         206 Australia                                             20434176
         207 Bosnia_and_Herzegovina                                 4552198
         208 Lesotho                                                2125262
         209 Western_Sahara                                          382617
         210 Bassas_da_India                                              0
         211 West_Bank                                              2535927
         212 Costa_Rica                                             4133884
         213 Austria                                                8199783
         214 Russia                                               141377752
         215 Netherlands_Antilles                                    223652
         216 Latvia                                                 2259810
         217 Qatar                                                   907229
         218 Cote_d'Ivoire                                         18013409
         219 Vatican_City                                               821
         220 Pitcairn_Islands                                            48
         221 Estonia                                                1315912
         222 Antarctica                                                   0
         223 Lithuania                                              3575439
         224 Netherlands                                           16570613
         225 Botswana                                               1815508
         226 Antigua_and_Barbuda                                      69481
         227 Uruguay                                                3460607
         228 Niue                                                      1492
         229 Brunei                                                  374577
         230 Ecuador                                               13755680
         231 Nauru                                                    13528
         232 Bouvet_Island                                                0
         233 Aruba                                                   100018
         234 Mauritania                                             3270065
         235 Equatorial_Guinea                                       551201
         236 Mauritius                                              1250882
         237 Bhutan                                                 2327849
         238 Reunion                                                 787584
         239 South_Africa                                          43997828
         240 South_Georgia_and_the_South_Sandwich_Islands                 0
         241 Saudi_Arabia                                          27601038
         242 Tuvalu                                                   11992
         243 Navassa_Island                                               0
         244 New_Zealand                                            4115771
         245 Kuwait                                                 2505559
         246 New_Caledonia                                           221943
         247 Mexico                                               108700891
         248 Luxembourg                                              480222
         249 Egypt                                                 80335036
         250 Guyana                                                  769095
         251 Cayman_Islands                                           46600
         252 Mayotte                                                 208783
         253 Seychelles                                               81895
         254 Gaza_Strip                                             1482405
         255 Mozambique                                            20905585
         256 Kazakhstan                                            15284929
